broadcast_id,type,content,creation_date,deadline,creator,urgency
1,announcement,"We need extra guards during the holiday,",1/5/2022 3:57,1/5/2022 3:57,8,High
2,announcement,Beware of smoke,3/5/2022 1:54,3/5/2022 1:54,7,Low
3,announcement,There is a screwdriver sale at Bishan. Go buy your screwdrivers today!,3/5/2022 3:20,3/5/2022 3:20,8,High
4,assignment,You're duty is on 26 May at 3pm,4/5/2022 3:57,4/5/2022 3:57,8,High
5,assignment,You're duty is on 27 May at 3pm,5/5/2022 21:37,5/5/2022 21:37,8,High
6,assignment,You're duty is on 28 May at 3pm,8/5/2022 1:53,8/5/2022 1:53,8,High
7,assignment,You're duty is on 29 May at 3pm,10/5/2022 22:27,10/5/2022 22:27,7,High
8,assignment,You're duty is on 30 May at 3pm,13/5/2022 23:06,13/5/2022 23:06,8,High
9,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",14/5/2022 22:06,14/5/2022 22:06,7,High
10,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",16/5/2022 2:07,16/5/2022 2:07,8,Low
11,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",16/5/2022 3:57,16/5/2022 3:57,8,High
12,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",16/5/2022 5:09,16/5/2022 5:09,8,Low
13,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",16/5/2022 21:05,16/5/2022 21:05,8,Low
14,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",17/5/2022 3:54,17/5/2022 3:54,7,Low
15,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",18/5/2022 18:46,18/5/2022 18:46,7,Low
16,announcement,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",22/5/2022 18:06,22/5/2022 18:06,7,High
